设备地址,站点名称,目标地址,目标AS域,下行流量,上行流量,总流量,下行流量-新,上行流量-新,总流量-新
,animal.app100718846.twsapp.com,118.89.30.211,腾讯,2.939M,2.388M,5.327M,0.002939G,0.002388G,0.005327G
,btrace.ysp.cctv.cn,123.206.40.220,腾讯,2.514M,2.804M,5.318M,0.0025139999999999997G,0.0028039999999999996G,0.005318G
,ksgame-cdn.game.kuaishou.com,182.254.49.96,腾讯,1.369M,3.913M,5.282M,0.001369G,0.003913G,0.005282G
,s.huaji-b.com:57769,212.64.63.53,其他国家,272.665K,5.006M,5.278M,0.00027266500000000006G,0.005006G,0.005278G
,103.57.15.223,49.234.170.124,北京市教育信息网,1.71M,3.568M,5.278M,0.00171G,0.003568G,0.005278G
,upload.hxnews.com,182.254.52.222,腾讯,3.602M,1.674M,5.275M,0.0036019999999999997G,0.001674G,0.005275G
,123.207.88.203:8023,123.207.88.203,腾讯,3.735M,1.539M,5.275M,0.003735G,0.001539G,0.005275G
,129.211.53.162,129.211.53.162,美国,2.23M,3.038M,5.268M,0.0022299999999999998G,0.003038G,0.005268G
,images-video.9liuda.com,182.254.49.96,腾讯,3.18M,2.08M,5.26M,0.00318G,0.0020800000000000003G,0.00526G
,pull.push.sogou.com,109.244.23.87,其他国家,79.189K,5.18M,5.259M,7.918899999999999e-05G,0.00518G,0.005259000000000001G
,182.254.53.13,182.254.53.13,腾讯,2.413M,2.835M,5.248M,0.0024129999999999998G,0.002835G,0.005248G
,121.51.74.158:9010,121.51.74.158,腾讯,97.511K,5.148M,5.245M,9.7511e-05G,0.005148G,0.0052450000000000005G
,123p2.sogoucdn.com,182.254.53.92,腾讯,3.761M,1.476M,5.237M,0.003761G,0.0014759999999999999G,0.005237G
,182.254.53.38:8080,182.254.53.38,腾讯,3.73M,1.501M,5.231M,0.00373G,0.001501G,0.0052309999999999995G
,msg-jw-web.ssl.daxianghuyu.cn,182.254.53.181,腾讯,2.673M,2.533M,5.207M,0.002673G,0.002533G,0.005207G
,121.51.23.150,121.51.23.150,腾讯,3.133M,2.065M,5.198M,0.003133G,0.002065G,0.005198G
,182.254.52.169,182.254.52.169,腾讯,1.613M,3.575M,5.188M,0.001613G,0.003575G,0.005188G
,182.254.20.104,182.254.20.104,腾讯,3.766M,1.417M,5.183M,0.003766G,0.001417G,0.005183G
,adfilter.imtt.qq.com,182.254.86.159,腾讯,2.232M,2.941M,5.173M,0.002232G,0.002941G,0.005173G
,tianqin.qq.com,121.51.176.175,腾讯,3.143M,2.019M,5.162M,0.003143G,0.002019G,0.005162G
,182.254.52.141:8080,182.254.52.141,腾讯,2.879M,2.277M,5.156M,0.002879G,0.002277G,0.005156G
,eleven.bayescom.cn,152.136.9.187,美国,1.342M,3.81M,5.152M,0.001342G,0.00381G,0.005152G
,api.device.skysrt.com,111.230.3.127,湖北省,1.96M,3.191M,5.151M,0.00196G,0.003191G,0.005151G
,fbqsc.weishi.qq.com,182.254.93.102,腾讯,1.618M,3.524M,5.141M,0.001618G,0.0035240000000000002G,0.005141G
,down1.thorzip.muxin.fun,182.254.53.92,腾讯,1.014M,4.121M,5.135M,0.001014G,0.0041210000000000005G,0.005135G
,base.api.my7v.com,172.81.232.201,其他国家,778.11K,4.313M,5.091M,0.0007781099999999999G,0.004313G,0.005091G
,avatar0.weishi.qq.com,182.254.53.105,腾讯,1.715M,3.356M,5.071M,0.0017150000000000002G,0.003356G,0.005071G
,gift-static.hongyibo.com.cn,182.254.53.194,腾讯,2.733M,2.332M,5.065M,0.002733G,0.002332G,0.005065G
,103.57.15.202,115.159.53.132,腾讯,1.494M,3.567M,5.061M,0.001494G,0.0035670000000000003G,0.0050609999999999995G
,img.cdn.mtbcorporate.com,182.254.48.202,腾讯,4.252M,776.785K,5.029M,0.004252G,0.000776785G,0.005029G
,182.254.53.51,182.254.53.51,腾讯,1.252M,3.771M,5.023M,0.001252G,0.003771G,0.005023G
,182.254.93.101,182.254.93.101,腾讯,2.264M,2.756M,5.021M,0.002264G,0.0027559999999999998G,0.005021G
,sample-receive5.master.qq.com,182.254.51.126,腾讯,0,5.021M,5.021M,0G,0.005021G,0.005021G
,st.map.qq.com,121.51.79.244,腾讯,2.343M,2.675M,5.019M,0.002343G,0.002675G,0.005019G
,v.qq.com,182.254.90.87,腾讯,1.76M,3.255M,5.015M,0.00176G,0.003255G,0.0050149999999999995G
,121.51.91.234,121.51.91.234,腾讯,3.861M,1.142M,5.003M,0.0038610000000000003G,0.001142G,0.0050030000000000005G
,sa.sogou.com,211.159.235.170,腾讯,1.301M,3.698M,4.999M,0.0013009999999999999G,0.003698G,0.004999G
,06imgmini.eastday.com,182.254.48.245,腾讯,1.969M,3.029M,4.998M,0.0019690000000000003G,0.003029G,0.004998G
,103.57.15.201,121.51.91.60,腾讯,1.42M,3.554M,4.974M,0.0014199999999999998G,0.003554G,0.004974G
,video.hxhxtyc.com,182.254.52.122,腾讯,2.72M,2.24M,4.96M,0.00272G,0.0022400000000000002G,0.00496G
,configdownload.dbankcdn.cn,182.254.53.194,腾讯,3.45M,1.498M,4.949M,0.0034500000000000004G,0.001498G,0.004949G
,image.tingmall.com,182.254.48.192,腾讯,2.816M,2.124M,4.94M,0.002816G,0.002124G,0.004940000000000001G
,121.51.180.11,121.51.180.11,腾讯,3.855M,1.081M,4.936M,0.003855G,0.001081G,0.004936G
,tg.oktk.com,182.254.52.146,腾讯,2.27M,2.642M,4.912M,0.00227G,0.002642G,0.004912G
,tc.coocaa.ottcn.com,106.52.143.140,北京市北龙中网,848.343K,4.046M,4.894M,0.000848343G,0.004046G,0.004894G
,182.254.52.179:8080,182.254.52.179,腾讯,4.003M,875.841K,4.879M,0.0040030000000000005G,0.000875841G,0.004879G
,121.51.40.37,121.51.40.37,腾讯,3.274M,1.594M,4.868M,0.003274G,0.0015940000000000001G,0.004868G
,live-hls-8.talk-fun.com,121.51.42.205,腾讯,1.283M,3.578M,4.861M,0.0012829999999999999G,0.003578G,0.004861G
,ts2.stsc12.com,121.51.224.63,腾讯,3.506M,1.346M,4.852M,0.0035059999999999996G,0.0013460000000000002G,0.004852G
,103.57.15.205,123.206.191.79,腾讯,1.468M,3.384M,4.851M,0.001468G,0.003384G,0.004851G
,v.9liuda.com,182.254.48.121,腾讯,3.347M,1.501M,4.848M,0.003347G,0.001501G,0.004848G
,121.51.180.62,121.51.180.62,腾讯,3.947M,894.491K,4.842M,0.003947G,0.0008944910000000001G,0.004842G
,182.254.48.146,182.254.48.146,腾讯,3.46M,1.379M,4.84M,0.00346G,0.001379G,0.00484G
,cdn1.ime.sogou.com,182.254.52.233,腾讯,2.745M,2.094M,4.839M,0.002745G,0.002094G,0.004839G
,103.57.15.227,121.51.180.40,腾讯,1.653M,3.184M,4.837M,0.001653G,0.003184G,0.004837G
,f99.gdsoq.com,182.254.59.207,腾讯,225.439K,4.607M,4.833M,0.000225439G,0.004607G,0.0048330000000000005G
,103.57.15.204,123.206.220.12,腾讯,1.448M,3.372M,4.819M,0.0014479999999999999G,0.003372G,0.004819G
,datainterface.papa91.com,193.112.255.170,其他国家,1.718K,4.808M,4.81M,1.718e-06G,0.004808G,0.00481G
,152.136.111.71:19091,152.136.111.71,美国,128.339K,4.678M,4.807M,0.00012833900000000002G,0.004678G,0.0048070000000000005G
,business.video.tc.skysrt.com,111.230.163.198,湖北省,1.376M,3.428M,4.804M,0.0013759999999999998G,0.003428G,0.004804G
,expr-cdn.shouji.sogou.com,182.254.53.181,腾讯,2.409M,2.394M,4.803M,0.0024089999999999997G,0.0023940000000000003G,0.004803G
,kz.mieyisi.com,182.254.59.207,腾讯,2.192M,2.61M,4.802M,0.0021920000000000004G,0.00261G,0.004802G
,121.51.40.104,121.51.40.104,腾讯,3.175M,1.626M,4.8M,0.003175G,0.0016259999999999998G,0.0048G
,103.57.15.240:8080,129.28.208.163,美国,668.132K,4.127M,4.795M,0.000668132G,0.004127G,0.004795G
,www.epg.huan.tv,139.199.233.47,腾讯,2.16M,2.631M,4.79M,0.00216G,0.0026309999999999997G,0.00479G
,182.254.90.41,182.254.90.41,腾讯,2.874M,1.908M,4.782M,0.0028740000000000003G,0.001908G,0.004782G
,upgrade.snm-s.cn:9081,139.199.213.103,腾讯,4.107M,666.161K,4.773M,0.004107G,0.0006661609999999999G,0.0047729999999999995G
,121.51.120.63,121.51.120.63,腾讯,2.881M,1.887M,4.769M,0.002881G,0.001887G,0.004769G
,tj.file.myqcloud.com,211.159.136.14,腾讯,16.805K,4.747M,4.764M,1.6805e-05G,0.0047469999999999995G,0.004764G
,lookjd.chinahrt.com,182.254.53.176,腾讯,0,4.754M,4.754M,0G,0.0047539999999999995G,0.0047539999999999995G
,s5.cdn.vcinema.com.cn,182.254.49.23,腾讯,3.121M,1.626M,4.746M,0.003121G,0.0016259999999999998G,0.004746G
,smallmv.eastday.com,182.254.52.122,腾讯,4.04M,699.008K,4.739M,0.00404G,0.0006990080000000001G,0.004739G
,zs.bttsc.leyuannet.com,182.254.53.176,腾讯,3.498M,1.232M,4.73M,0.0034980000000000002G,0.001232G,0.004730000000000001G
,android.profile.pinyin.sogou.com,211.159.235.100,腾讯,504.483K,4.216M,4.72M,0.000504483G,0.004216G,0.004719999999999999G
,huannew.api.snmtcl.aisee.tv,193.112.116.237,其他国家,782.018K,3.936M,4.718M,0.000782018G,0.003936G,0.004718G
,staticontent.ymatou.com,121.51.224.59,腾讯,0,4.712M,4.712M,0G,0.004712G,0.004712G
,yxzj-75356.sz.gfp.tencent-cloud.com,121.51.130.246,腾讯,215.02K,4.497M,4.712M,0.00021502G,0.004497G,0.004712G
,c6.xinstatic.com,182.254.59.158,腾讯,2.657M,2.045M,4.702M,0.002657G,0.002045G,0.004702G
,182.254.90.108,182.254.90.108,腾讯,1.499M,3.202M,4.701M,0.0014990000000000001G,0.003202G,0.0047009999999999994G
,129.204.85.213:8080,129.204.85.213,美国,1.061M,3.64M,4.701M,0.0010609999999999999G,0.00364G,0.0047009999999999994G
,map17.mini1.cn,182.254.61.158,腾讯,3.905M,794.907K,4.7M,0.0039049999999999996G,0.0007949070000000001G,0.0047G
,ta.yunjiglobal.com,118.89.207.167,腾讯,931.864K,3.757M,4.688M,0.000931864G,0.003757G,0.0046879999999999995G
,a2.qpic.cn,121.51.191.201,腾讯,2.733M,1.95M,4.683M,0.002733G,0.00195G,0.004683G
,anv9.ctapi.5fun.com,106.53.80.151,北京市北龙中网,3.474M,1.202M,4.676M,0.003474G,0.001202G,0.0046760000000000005G
,81.68.109.94,81.68.109.94,其他国家,873.375K,3.796M,4.67M,0.000873375G,0.003796G,0.00467G
,fastpnrt-stsdk.vivo.com.cn,182.254.52.239,腾讯,1.246M,3.415M,4.66M,0.001246G,0.003415G,0.00466G
,360.lockscreenimg.com,121.51.224.25,腾讯,2.221M,2.429M,4.65M,0.002221G,0.0024289999999999997G,0.0046500000000000005G
,shortvideo-image-txy-ssl.a.88cdn.com,182.254.53.176,腾讯,3.199M,1.444M,4.644M,0.003199G,0.001444G,0.0046440000000000006G
,down1.wallpaper.shqingzao.com,182.254.53.181,腾讯,3.755M,884.482K,4.64M,0.003755G,0.000884482G,0.00464G
,a4.qpic.cn,121.51.18.247,腾讯,2.876M,1.758M,4.635M,0.002876G,0.001758G,0.004634999999999999G
,vdn3.vzuu.com,182.254.48.228,腾讯,4.351M,273.258K,4.624M,0.004351G,0.000273258G,0.004624G
,pic.y.qq.com,182.254.48.72,腾讯,2.099M,2.491M,4.589M,0.002099G,0.002491G,0.004589G
,img.m3guo.com,182.254.61.149,腾讯,1.634M,2.946M,4.58M,0.0016339999999999998G,0.0029460000000000003G,0.00458G
,182.254.90.213,182.254.90.213,腾讯,1.013M,3.566M,4.579M,0.0010129999999999998G,0.0035659999999999997G,0.004579G
,www.dpfile.com,182.254.48.192,腾讯,2.758M,1.796M,4.554M,0.002758G,0.001796G,0.004554G
,map11.mini1.cn,182.254.48.192,腾讯,3.823M,729.097K,4.552M,0.003823G,0.000729097G,0.004552G
,lives.muear.cn:1935,62.234.137.29,其他国家,1.822M,2.72M,4.542M,0.001822G,0.00272G,0.004542G
,input.shouji.s,211.159.235.100,腾讯,2.508M,2.03M,4.538M,0.002508G,0.0020299999999999997G,0.004538G
,static.taiheeb.com,182.254.52.213,腾讯,2.584M,1.937M,4.52M,0.002584G,0.0019370000000000001G,0.00452G
,c.nhm00.com:2046,212.129.163.236,其他国家,54.554K,4.461M,4.515M,5.4554000000000007e-05G,0.0044610000000000006G,0.004515G
,qlogo3.store.qq.com,121.51.19.191,腾讯,1.899M,2.616M,4.515M,0.001899G,0.0026160000000000003G,0.004515G
,data.qqpy.sogou.com,109.244.23.87,其他国家,973.246K,3.539M,4.512M,0.000973246G,0.003539G,0.0045119999999999995G
,kw1-1253445850.image.myqcloud.com,182.254.59.158,腾讯,2.488M,2.023M,4.511M,0.002488G,0.002023G,0.004511G
,111.230.3.67,111.230.3.67,湖北省,1.318M,3.186M,4.504M,0.0013180000000000002G,0.003186G,0.004503999999999999G
,imgcdn2.gongyi.qq.com,182.254.52.230,腾讯,3.289M,1.204M,4.493M,0.0032890000000000003G,0.001204G,0.0044930000000000005G
,c.mp.qq.com,121.51.179.154,腾讯,2.065M,2.426M,4.492M,0.002065G,0.002426G,0.004492G
,upgrade.api.my7v.com,118.25.34.114,香港,1.084M,3.407M,4.491M,0.0010840000000000001G,0.003407G,0.004490999999999999G
,app-vklm.vipkid.com.cn,192.144.195.25,其他国家,20.437K,4.449M,4.47M,2.0437e-05G,0.004449G,0.00447G
,web.sqt.gtimg.cn,182.254.50.114,腾讯,294.605K,4.171M,4.466M,0.00029460500000000003G,0.004171G,0.004466G
,121.51.86.91,121.51.86.91,腾讯,2.383M,2.063M,4.447M,0.002383G,0.002063G,0.004447G
,sdk.mobad.ijinshan.com,193.112.227.198,其他国家,935.458K,3.495M,4.431M,0.000935458G,0.0034950000000000003G,0.004431G
,tclicon.upgrade.huan.tv,62.234.186.163,其他国家,1.096M,3.326M,4.423M,0.0010960000000000002G,0.003326G,0.004423G
,lebian.12317wan.com,182.254.59.146,腾讯,0,4.415M,4.415M,0G,0.004415G,0.004415G
,pcoma.qq.com,182.254.50.67,腾讯,160.958K,4.25M,4.411M,0.000160958G,0.00425G,0.004411G
,ark.ucenter.appget.cn,120.53.212.235,上海市普陀区长城宽带,792.371K,3.611M,4.404M,0.0007923709999999999G,0.003611G,0.004404G
,121.51.91.200,121.51.91.200,腾讯,3.284M,1.115M,4.398M,0.0032839999999999996G,0.0011149999999999999G,0.004398G
,182.254.52.246,182.254.52.246,腾讯,1.13M,3.268M,4.398M,0.00113G,0.0032679999999999996G,0.004398G
,hw.tingmall.com,182.254.48.105,腾讯,3.753M,644.278K,4.397M,0.0037530000000000003G,0.000644278G,0.004397G
,qlogo2.store.qq.com,121.51.19.191,腾讯,2.334M,2.06M,4.395M,0.002334G,0.00206G,0.004395G
,sns-avatar-qc.xhscdn.com,182.254.53.176,腾讯,2.287M,2.104M,4.391M,0.002287G,0.002104G,0.004391G
,121.51.120.72,121.51.120.72,腾讯,5.29K,4.381M,4.387M,5.29e-06G,0.004381G,0.004386999999999999G
,182.254.52.49,182.254.52.49,腾讯,2.963M,1.421M,4.384M,0.002963G,0.001421G,0.004384000000000001G
,djdk.eastmoney.com,115.159.252.80,腾讯,110.308K,4.274M,4.384M,0.000110308G,0.004274G,0.004384000000000001G
,lpvideo-10011010.video.myqcloud.com,182.254.52.170,腾讯,3.534M,849.878K,4.384M,0.003534G,0.000849878G,0.004384000000000001G
,static.mcc.miui.com,121.51.224.63,腾讯,3.463M,911.404K,4.374M,0.003463G,0.000911404G,0.004373999999999999G
,oasisp.video.weibocdn.com,121.51.68.216,腾讯,2.673M,1.688M,4.362M,0.002673G,0.001688G,0.004362G
,121.51.40.34,121.51.40.34,腾讯,1.956M,2.404M,4.36M,0.001956G,0.002404G,0.00436G
,mengine.go2map.com,211.159.235.100,腾讯,763.98K,3.593M,4.357M,0.00076398G,0.003593G,0.004357000000000001G
,121.51.158.41:80,121.51.158.41,腾讯,2.858M,1.463M,4.321M,0.0028580000000000003G,0.001463G,0.004320999999999999G
,momentcon-1255653016.file.myqcloud.com,182.254.52.146,腾讯,2.103M,2.21M,4.313M,0.0021030000000000003G,0.00221G,0.004313G
,logs.game.qq.com,121.51.80.216,腾讯,2.318M,1.993M,4.311M,0.002318G,0.001993G,0.004311G
,qlogo4.store.qq.com,121.51.19.191,腾讯,1.912M,2.389M,4.301M,0.0019119999999999999G,0.0023889999999999996G,0.004301G
,ssec3.chinaacc.com,182.254.52.97,腾讯,3.126M,1.17M,4.295M,0.003126G,0.00117G,0.004295G
,a3.qpic.cn,121.51.19.198,腾讯,2.492M,1.802M,4.294M,0.002492G,0.001802G,0.004293999999999999G
,game-epgtmz.xianyuyouxi.com,212.64.45.149,其他国家,698.068K,3.595M,4.293M,0.000698068G,0.003595G,0.004293G
,psfq.gou.sogou.com,211.159.235.100,腾讯,1.7M,2.58M,4.28M,0.0017G,0.0025800000000000003G,0.00428G
,v1.cache.qcloudcdn.com,182.254.49.29,腾讯,475.455K,3.801M,4.277M,0.00047545499999999995G,0.003801G,0.004277G
,api.honghou8.com,118.25.167.99,香港,1.55M,2.719M,4.269M,0.00155G,0.002719G,0.004269G
,140.143.213.211,140.143.213.211,河南省郑州市景安计算机网络,2.25M,2.006M,4.256M,0.00225G,0.002006G,0.004256G
,tc.ptskysrt.gitv.tv,129.204.99.58,美国,282.298K,3.97M,4.252M,0.000282298G,0.0039700000000000004G,0.004252G
,download.wegame.qq.com,182.254.48.49,腾讯,2.636M,1.606M,4.242M,0.0026360000000000003G,0.001606G,0.004242G
,zp.res.my7v.com,182.254.59.158,腾讯,3.124M,1.112M,4.236M,0.003124G,0.0011120000000000001G,0.004236G
,182.254.48.154,182.254.48.154,腾讯,2.858M,1.374M,4.232M,0.0028580000000000003G,0.001374G,0.0042320000000000005G
,dldir2.qq.com,182.254.59.170,腾讯,2.727M,1.504M,4.231M,0.002727G,0.001504G,0.0042309999999999995G
,map27.mini1.cn,121.51.224.96,腾讯,893.764K,3.332M,4.226M,0.000893764G,0.003332G,0.004226G
,121.51.64.36,121.51.64.36,腾讯,3.155M,1.062M,4.217M,0.003155G,0.001062G,0.004216999999999999G
,pull-flv-f11.douyincdn.com,121.51.120.113,腾讯,2.311M,1.898M,4.209M,0.002311G,0.001898G,0.004208999999999999G
,camp.qq.com,121.51.68.119,腾讯,1.611M,2.587M,4.198M,0.001611G,0.0025870000000000003G,0.004198G
,snake-pc-core-dyn.gz.1252595457.clb.myqcloud.com,193.112.255.72,其他国家,2.186M,2.008M,4.194M,0.002186G,0.002008G,0.004194G
,wzzs.egame.livelink.qq.com,121.51.112.90,腾讯,3.282M,898.225K,4.18M,0.003282G,0.000898225G,0.00418G
,down1.smartlook.shheshou.com,182.254.59.174,腾讯,3.57M,609.537K,4.179M,0.00357G,0.000609537G,0.004179G
,review.pddpic.com,182.254.60.13,腾讯,1.367M,2.811M,4.178M,0.001367G,0.002811G,0.004178G
,ipyo.theta.sogou.com,109.244.23.123,其他国家,2.027M,2.147M,4.174M,0.002027G,0.0021469999999999996G,0.004174000000000001G
,p2.123.sogoucdn.com,182.254.59.174,腾讯,3.289M,880.533K,4.169M,0.0032890000000000003G,0.000880533G,0.004169G
,cache.tv.qq.com,182.254.90.89,腾讯,2.088M,2.078M,4.166M,0.002088G,0.002078G,0.004166G
,animal-10001882.image.myqcloud.com,182.254.48.202,腾讯,1.975M,2.187M,4.162M,0.001975G,0.0021869999999999997G,0.004162G
,pjyu.golden1.sogou.com,211.159.235.100,腾讯,1.772M,2.389M,4.161M,0.001772G,0.0023889999999999996G,0.004161G
,cdn-prod-lapis.dl.kingsoft.com,182.254.59.174,腾讯,1.708M,2.443M,4.151M,0.0017079999999999999G,0.002443G,0.004151G
,fych.uranus.sogou.com,211.159.235.100,腾讯,1.789M,2.358M,4.147M,0.001789G,0.0023580000000000003G,0.0041470000000000005G
,pic8.58cdn.com.cn,182.254.52.233,腾讯,2.626M,1.513M,4.14M,0.002626G,0.0015129999999999998G,0.00414G
,182.254.48.151,182.254.48.151,腾讯,2.896M,1.243M,4.139M,0.0028959999999999997G,0.0012430000000000002G,0.004139G
,dl-android.keepcdn.com,182.254.53.68,腾讯,2.863M,1.275M,4.138M,0.002863G,0.0012749999999999999G,0.004138G
,video3.yangkeduo.com,182.254.76.29,腾讯,623.461K,3.504M,4.127M,0.0006234610000000001G,0.003504G,0.004127G
,showv4.gtimg.cn,182.254.52.87,腾讯,1.121M,2.995M,4.116M,0.001121G,0.0029950000000000003G,0.004116G
,masdkv6.3g.qq.com,182.254.21.63,腾讯,779.585K,3.335M,4.115M,0.0007795850000000001G,0.003335G,0.004115000000000001G
,rjgw.theta.sogou.com,211.159.235.100,腾讯,1.839M,2.27M,4.109M,0.001839G,0.00227G,0.004109G
,thirdapp2.qlogo.cn,121.51.86.93,腾讯,2.373M,1.731M,4.104M,0.002373G,0.0017310000000000001G,0.004104G
,121.51.120.96,121.51.120.96,腾讯,45.2K,4.057M,4.102M,4.52e-05G,0.004057000000000001G,0.004102000000000001G
,ott.liveapi.mgtv.com,192.144.195.248,其他国家,1.981M,2.116M,4.097M,0.001981G,0.0021160000000000003G,0.004097000000000001G
,134.175.109.172:8888,134.175.109.172,其他国家,36.096K,4.056M,4.092M,3.6095999999999995e-05G,0.004056G,0.004091999999999999G
,map24.mini1.cn,121.51.224.96,腾讯,3.082M,1.008M,4.09M,0.0030819999999999997G,0.001008G,0.00409G
,wechatappdev-10011692.file.myqcloud.com,182.254.53.194,腾讯,3.812M,260.105K,4.072M,0.003812G,0.000260105G,0.004072G
,appimg1.qq.com,182.254.49.85,腾讯,671.186K,3.385M,4.056M,0.000671186G,0.003385G,0.004056G
,v.dongaocloud.com,182.254.52.97,腾讯,2.294M,1.755M,4.049M,0.002294G,0.0017549999999999998G,0.0040490000000000005G
,hippy.imtt.qq.com,121.51.68.119,腾讯,1.79M,2.255M,4.046M,0.0017900000000000001G,0.002255G,0.004046G
,card.10010.com,121.51.68.254,腾讯,1.67M,2.358M,4.027M,0.0016699999999999998G,0.0023580000000000003G,0.004027G
,client.show.qq.com,182.254.50.114,腾讯,239.96K,3.764M,4.004M,0.00023996G,0.003764G,0.004004G
,www.chinaacc.com,182.254.48.245,腾讯,258.827K,3.736M,3.995M,0.000258827G,0.003736G,0.003995G
,beta.myapp.com,182.254.59.170,腾讯,1.869M,2.123M,3.993M,0.001869G,0.0021230000000000003G,0.003993G
,182.254.52.218,182.254.52.218,腾讯,286.059K,3.69M,3.977M,0.000286059G,0.00369G,0.003977G
,yue03.sogoucdn.com,121.51.224.25,腾讯,3.19M,784.694K,3.975M,0.00319G,0.000784694G,0.003975G
,jylh-res.hz.37.com.cn,193.112.156.112,其他国家,2.665M,1.29M,3.955M,0.002665G,0.0012900000000000001G,0.003955G
,mlog.dianping.com,106.54.175.73,北京市北龙中网,4.348K,3.935M,3.94M,4.348e-06G,0.003935G,0.00394G
,h5.17paipai.cn,140.143.51.218,河南省郑州市景安计算机网络,1.024M,2.904M,3.927M,0.001024G,0.002904G,0.003927G
,info.52pcfree.com,139.199.214.236,腾讯,1.286M,2.631M,3.917M,0.001286G,0.0026309999999999997G,0.0039169999999999995G
,ccstatic-1252317822.file.myqcloud.com,182.254.59.174,腾讯,2.496M,1.415M,3.91M,0.002496G,0.001415G,0.00391G
,cjroq.bealge.sogou.com,211.159.235.100,腾讯,1.74M,2.165M,3.904M,0.00174G,0.002165G,0.003904G
,novel.sogou.com,211.159.235.100,腾讯,1.602M,2.288M,3.89M,0.0016020000000000001G,0.0022879999999999997G,0.0038900000000000002G
,catdot.dianping.com,123.206.249.208,腾讯,996.518K,2.884M,3.88M,0.000996518G,0.002884G,0.0038799999999999998G
,129.211.145.172,129.211.145.172,美国,221.219K,3.656M,3.878M,0.000221219G,0.003656G,0.003878G
,rq.phone.cloud.duba.net,140.143.220.17,河南省郑州市景安计算机网络,923.592K,2.954M,3.877M,0.000923592G,0.002954G,0.003877G
,c.beibei.com,212.129.209.106,其他国家,14.465K,3.851M,3.866M,1.4465000000000001e-05G,0.003851G,0.003866G
,js.xiaomingming.org,182.254.59.207,腾讯,2.836M,994.485K,3.83M,0.002836G,0.000994485G,0.00383G
,apis.map.qq.com,182.254.50.54,腾讯,1.624M,2.199M,3.823M,0.001624G,0.002199G,0.003823G
,pic7.58cdn.com.cn,121.51.224.86,腾讯,1.749M,2.066M,3.815M,0.0017490000000000001G,0.0020659999999999997G,0.003815G
,static.qmpig8.com,182.254.53.68,腾讯,2.128M,1.681M,3.809M,0.002128G,0.001681G,0.0038090000000000003G
,e.nhm00.com:2075,81.69.157.97,其他国家,0,3.807M,3.807M,0G,0.003807G,0.003807G
,cdn.phonecoolgame.com,182.254.59.192,腾讯,0,3.804M,3.804M,0G,0.0038039999999999997G,0.0038039999999999997G
,images-b.ks.51tv.com,182.254.59.207,腾讯,1.9M,1.898M,3.798M,0.0019G,0.001898G,0.003798G
,dhimg2.sogoucdn.com,182.254.53.68,腾讯,2.08M,1.714M,3.795M,0.0020800000000000003G,0.001714G,0.0037949999999999998G
,pcxzo.pluto.sogou.com,109.244.23.123,其他国家,1.499M,2.287M,3.786M,0.0014990000000000001G,0.002287G,0.003786G
,123p3.sogoucdn.com,121.51.224.59,腾讯,2.44M,1.34M,3.78M,0.00244G,0.00134G,0.00378G
,wximg.qq.com,182.254.90.87,腾讯,1.409M,2.368M,3.777M,0.001409G,0.002368G,0.003777G
,cdnres.huangxiang.shiyuegame.com,182.254.53.68,腾讯,2.473M,1.301M,3.774M,0.002473G,0.0013009999999999999G,0.003774G
,hb.url.cn,182.254.59.187,腾讯,2.085M,1.686M,3.771M,0.002085G,0.001686G,0.003771G
,jxjycwsc.dongao.com,121.51.224.25,腾讯,2.055M,1.704M,3.759M,0.002055G,0.001704G,0.0037589999999999998G
,182.254.90.211,182.254.90.211,腾讯,205.606K,3.553M,3.758M,0.000205606G,0.0035529999999999997G,0.003758G
,yxgl-ncdn.ios.gzyouai.com,182.254.53.194,腾讯,2.655M,1.092M,3.747M,0.002655G,0.001092G,0.003747G
,cdn.liehu.duba.com,182.254.53.105,腾讯,2.406M,1.321M,3.727M,0.002406G,0.001321G,0.003727G
,qd.myapp.com,182.254.59.187,腾讯,2.353M,1.361M,3.714M,0.002353G,0.001361G,0.003714G
,121.51.32.115,121.51.32.115,腾讯,136.976K,3.576M,3.713M,0.000136976G,0.003576G,0.003713G
,xxajh-1251775086.cos.ap-shanghai.myqcloud.com,123.206.239.101,腾讯,1.968M,1.745M,3.713M,0.001968G,0.001745G,0.003713G
,udata.youban.com,182.254.59.156,腾讯,3.45M,241.692K,3.692M,0.0034500000000000004G,0.00024169200000000003G,0.003692G
,121.51.68.119,121.51.68.119,腾讯,1.515M,2.176M,3.69M,0.0015149999999999999G,0.002176G,0.00369G
,182.254.52.209,182.254.52.209,腾讯,2.466M,1.213M,3.68M,0.0024660000000000003G,0.001213G,0.00368G
,dumpc-u.cloud.duba.net:8080,111.230.161.225,湖北省,0,3.671M,3.671M,0G,0.003671G,0.003671G
,appsupport.qq.com,121.51.142.27,腾讯,681.887K,2.978M,3.66M,0.0006818869999999999G,0.002978G,0.00366G
,dl.wetoo.com,182.254.53.92,腾讯,1.041M,2.606M,3.647M,0.0010409999999999998G,0.002606G,0.0036469999999999996G
,x.sogou.com,109.244.23.123,其他国家,1.636M,2.01M,3.646M,0.0016359999999999999G,0.0020099999999999996G,0.003646G
,121.51.120.83,121.51.120.83,腾讯,1.048M,2.586M,3.634M,0.001048G,0.0025859999999999998G,0.003634G
